,Eau,LODs (Eurachem guide),,,,5,,,,,40.6,,,,17.7,,,,5.1,,,,11.1,,,,10.3,,,,26.5,,,,14.7,,,,9.1,,,,13.5,,,,36.9,,,,9.5,,,,29,,,,8.1,,,,9.4,,,,11.6,,,,20.1,,<1,,5.6,,,
,,LOQs (Eurachem guide),,,,15,,,,,135.4,,,,58.9,,,,17.1,,,,36.8,,,,34.4,,,,88.4,,,,49.1,,,,30.3,,,,45.1,,,,123.1,,,,31.8,,,,96.7,,,,27,,,,31.3,,,,38.6,,,,67.1,,<1,,18.8,,,
,Filtre,LODs,,,,1,,,,,2,,,,1,,,,0,,,,0,,,,0,,,,1,,,,1,,,,0,,,,1,,,,1,,,,0,,,,1,,,,0,,,,0,,,,0,,,,1,,<1,,0,,,
,,LOQS,,,,2,,,,,5,,,,2,,,,1,,,,1,,,,1,,,,4,,,,2,,,,1,,,,2,,,,5,,,,1,,,,4,,,,1,,,,1,,,,2,,,,3,,<1,,1,,,
Résutats en ng/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,
""" - "" : Inférieur de LODs",,,,DEPTHS ADDED BY LMB ON APRIL 1/2021,MC TOTAL,,,,,,CYN,,,,ANA-a,,,,dmMC-RR,,,,MC-RR,,,,MC-YR,,,,MC-HtyR,,,,MC-LR,,,,dmMC-LR,,,,MC-HiIR,,,,MC-WR,,,,MC-LA,,,,MC-LY,,,,MC-LW,,,,MC-LF,,,,HANA-a,,,,AP-A,,,,AP-B,,,
Intracellulaire corrigé en fonction du volume filtré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  LOD > Valeur > LOQ,,,,,Date d'analyse,,,,,Date d'analyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enki ID,Date d'échantillonage,Identification,Type échantillon,Depth (m),MC total Analyses,Résultat MC total,ET Variance,(LOD < x < LOQ),SD (LOD < x < LOQ),MC Ind Analyses,CYN,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),ANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-YR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HtyR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HiIR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-WR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LA,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LY,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LW,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LF,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),HANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-A,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-B,SD,(LOD < x < LOQ),SD (LOD < x < LOQ)
18937,2019-05-29,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,30.5,2.7,,,2020-08-31,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18937,2019-05-29,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-10,21.8,0.7,,,2020-08-19,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18937,2019-05-29,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-28,6.4,0.3,,,2020-08-03,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,<1,,<1,
18940,2019-06-03,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,30.1,2,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18940,2019-06-03,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-10,27.6,4.3,,,2020-08-19,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18940,2019-06-03,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,<2,,<1,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,<1,,<1,
18943,2019-06-12,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,352.4,34.6,,,2021-01-27,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,76.9,3.9,,,<88,,<27,,73.7,8,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,27.5,4.2,,
