Sample_ID,Location,Depth,DOY,Species_Code,Species_Name,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Phylum,Family,Genus,Species,name_code
16832,Buffalo Pound,0.8,149,P1028,Merismopedia glauca (Ehrenberg) Kutzing,143680,2.59,0,0,18,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,glauca,Mer.gla
16832,Buffalo Pound,0.8,149,P1054,Planktolyngbya limnetica,16600,4.51,240,1.2,271.4,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktolyngbya,limnetica,Pla.lim
16832,Buffalo Pound,0.8,149,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,400,0.2,0,0,500,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
16832,Buffalo Pound,0.8,149,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,600,1.66,220,4,2764.6,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
16832,Buffalo Pound,0.8,149,P1088,Anabaena solitaria Klebs,200,1.23,215,7.4,6164.5,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,solitaria,Ana.sol
16832,Buffalo Pound,0.8,149,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,200,1.41,310,6.6,7070.5,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
16832,Buffalo Pound,0.8,149,P2105,Chlamydomonas spp.,114944,5.78,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
16832,Buffalo Pound,0.8,149,P2113,Pediastrum duplex Meyen,400,0.84,0,0,2100,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
16832,Buffalo Pound,0.8,149,P2121,Oocystis lacustris Chodat,122128,3.22,5.6,3,26.4,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
16832,Buffalo Pound,0.8,149,P2136,Dictyosphaerium pulchellum Wood,395120,44.69,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
16832,Buffalo Pound,0.8,149,P2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,50288,0.94,21,1.5,18.6,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,contortum,Mon.con
16832,Buffalo Pound,0.8,149,P2143,Monoraphidium minutum (Nag.) Komarkova-Legnerova,172416,9.31,8.6,4,54,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,minutum,Mon.min
16832,Buffalo Pound,0.8,149,P2215,Tetraedron caudatum (Corda) Hansgrig,150864,0.71,3,3,4.7,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Tetraedron,caudatum,Tet.cau
16832,Buffalo Pound,0.8,149,P2215,Tetraedron caudatum (Corda) Hansgrig,64656,0.3,3,3,4.7,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Tetraedron,caudatum,Tet.cau
