Location,Depth,DOY,REP,Species_Code,Species_Name,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Phylum,Family,Genus,Species,name_code
Buffalo Pound,0.8,149,REP1,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,200,1.34,463,4.3,6723.7,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,149,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,1000,2.66,146,5.9,2661.1,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,149,REP1,P2105,Chlamydomonas spp.,7184,0.18,5.2,3,24.5,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,149,REP1,P2113,Pediastrum duplex Meyen,400,0.86,0,0,2150,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,149,REP1,P2121,Oocystis lacustris Chodat,7184,0.36,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,149,REP1,P2167,Elakatothrix gelatinosa Willen,114944,2.16,12,2,18.8,Chlorophyte,PHYT,Chlorophyta,Coccomyxaceae,Elakatothrix,gelatinosa,Ela.gel
Buffalo Pound,0.8,149,REP1,P2204,Ankyra judayi (G.M. Smith) Fott,86208,5.2,15,3.2,60.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,149,REP1,P4351,Small chrysophyceae,172416,2.43,3,3,14.1,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,149,REP1,P4352,Large chrysophyceae,93392,16.77,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,149,REP1,P4355,Chrysochromulina parva Lackey,617824,40.41,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,149,REP1,P4388,Dinobryon sertularia Ehrenberg,35920,8.13,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,149,REP1,P4388,Dinobryon sertularia Ehrenberg,4800,6,0,0,1250,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,149,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,43104,1.56,6,3.4,36.3,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,149,REP1,P5515,Fragilaria crotonensis Kitton,11000,3.82,83,4,347.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,149,REP1,P5524,Asterionella formosa Hassall,659800,55.95,81,2,84.8,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
Buffalo Pound,0.8,149,REP1,P6554,Rhodomonas minuta Skuja,933920,143.17,12.2,6,153.3,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,149,REP1,P6558,Cryptomonas erosa Ehrenberg,91800,129.2,28,12,1407.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,149,REP1,P6562,Cryptomonas reflexa (Marsson) Skuja,33000,29.95,26,10,907.6,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,reflexa,Cry.ref
Buffalo Pound,0.8,149,REP1,P6565,Cryptomonas rostratiformis Skuja,13000,35.58,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,149,REP1,P6568,Katablepharis ovalis Skuja,7184,0.37,8.6,4,51.6,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,149,REP1,P7631,Gymnodinium helveticum Penard,200,4.71,50,30,23561.9,Dinoflagellate,PHYT,Pyrrhophyta,Gymnodinaceae,Gymnodinium,helveticum,Gym.hel
