Year,DOY,Tot_Biomass,Dolichospermum,Planktothrix,SRP,NH3,NO3,Chla
,julien day,biomass mg/m3,biomass mg/m3,biomass mg/m3,mg/L,mg/L,mg/L,mg/L
2018,149,716.82,2.64,1.66,0.0118,0.028,0.0058,1.64
2018,158,183.37,30.86,0,0.0134,0.009,0,4.62
2018,164,691.13,294.75,5.86,0.0062,0.017,0.0213,5.43
2018,170,3826.27,2424.72,290.31,0,0.005,0.009,26.788
2018,172,1464.32,948.98,21.66,0,0.006,0.0067,19.44
2018,176,2197.33,388.71,303.3,0.0048,0.008,0.0063,27.56
2018,184,4119.66,2138.87,605.15,0.0023,0.038,0,76.46
2018,187,9319.53,4188.42,2034.18,0,0.04,0,65.64
2018,190,9333.71,4399.55,3548.55,0,0.044,0.0067,92.7
2018,193,3041.02,921.63,1610.2,,0.002,0.0619,64.23
2018,197,13501.24,1249.95,9496.28,,0.049,0.0154,61.85
2018,199,8404.02,502.44,4919.25,,0.012,0.0078,50.52
2018,205,8985.01,28.99,6173.59,0.004,0.007,0.0177,40.39
2018,206,3333.97,32.7,2463.92,0.0038,,0.0341,19.79
2018,211,8923.06,262.1,6397.4,0.008,,0.0142,35.483
2018,212,6993.96,1158.71,4289.33,0,0,0.0053,36.025
2018,220,10287.72,3963.27,4406.98,0.1102,0,0.0118,59.284
2018,221,8205.96,1406.09,3530.56,0.005,0,0,40.641
2018,226,3883.36,0,1163.49,0.0189,0.031,0.0188,35.49
2018,229,4752.83,44.48,1863.14,0.0179,0.028,0.0258,32.92
2018,233,3950.09,102.87,1774.74,0.0051,0.024,0.0109,39.09
2018,235,4441.61,13.79,1961.77,0.0123,0.038,0.0297,30.83
2018,240,6643.32,0,5040.24,0.0184,0.009,0.0076,16.59
2018,248,12685.86,64.42,10427.83,0.0291,0.031,0.0065,19.78
2018,260,6547.54,4.16,4039.96,0.0214,0.0333,0.0046,12.26
2019,149,490.81,2.66,1.34,0.0128,0.044,0.0221,3.875
2019,154,495.14,15.74,0,0.0186,0.054,0,3.967
2019,163,1430.38,1009.92,20.36,0.018,0.047,0,5.106
2019,170,123.62,27.28,0,0.0111,0.039,0,6.02
2019,186,2554.38,1922.09,0,0.021,0.034,0.0276,41.614
2019,191,12587.13,11630.81,248.81,0.0091,0.088,0.0221,61.038
2019,198,45.81,28.12,0,,0.137,0.0444,15.537
2019,210,9497.89,1666.97,0,0.0089,0.035,0,71.984
2019,219,17944.26,11848.98,0,0.0023,0.028,0.0072,118.45
2019,227,7331.86,3410.21,631.08,0.0022,0.047,0,98.83
2019,233,15555.21,3649.93,282.74,0,0.035,0,99.79
2019,242,6007.23,690.25,501.88,0.0274,0.016,0.0116,80.26
2019,246,17187.83,975.16,4282.73,0.0127,0.039,0.005,70.94
2019,256,15883.05,1769.74,8593.42,0.0225,0.029,0,63.48
2019,260,10038.7,236.99,6412.64,0.0049,0.032,0,40.39
2019,269,16814.65,360.35,12876.12,0.0129,0.026,0,36.93
2019,276,21122.37,29.45,18627.08,,0.016,0,30.37
