DOY,Act.sp.,Ana.flo,Ana.sol,Ast.for,Chl.spp,Chr.glo,Chr.lau,Chr.par,Cry.ero,Cyc.mic,Cyc.ste,Dic.pul,Din.ser,Fra.cro,Gym.sp.,Kat.ova,Kep.sp.,lg.chrys,Mal.pse,Mer.gla,Mon.con,Mon.min,Ooc.lac,Ped.dup,Per.aci,Per.gos,Per.pus,Pla.aga,Pla.lim,Rho.min,Sal.fre,sm.chrys,Tet.cau,Uro.vol,Wor.com,Ank.spi,Cru.qua,Sce.den,Sce.qua,Sel.cop,Sti.spp,Syn.uln,Chr.lim,Cyc.oce,Fra.cap,Per.wil,Pha.sp.,Ana.cra,Eug.acu,Car.spp,Cry.ros,Mic.aer,Spo.pla,Cru.rec,Tre.sp.,Ela.gel,Cos.sp.,Sta.par,Coe.mic,Mal.due,Och.sp.,Cho.sp.,Nep.lun,Chr.sp.,Spi.ser,Tet.min,Chl.max,Aph.sp.,NA.sp.,Sta.cus,Clo.sp.,Bot.bra,Clo.kue
149,2.65,1.41,1.23,0.21,5.78,16.75,52.25,84.57,2.13,2.29,0.73,44.69,345.5,12.13,3.68,11.79,3.24,32.26,0.46,2.59,0.94,9.31,3.22,0.84,1.81,6.7,6.02,1.66,4.51,20.7,0.61,4.51,1.01,28.44,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1.89,30.86,0,0,1.08,0,0,15.97,0,0,0,0,43.88,0.37,0,0.96,0,1.29,0,0.52,1.78,38.94,2.64,0,0,0,0,0,2.24,0,1.47,6.99,0,13.81,0,7.37,1.08,5.33,1.38,0.94,2.17,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0.47,253.57,41.18,0,4.109999999999999,5.67,0,4.7,0.71,11.62,0,108.06,16.25,0.24,1.84,0.66,0,14.19,0,2.07,4.01,0,7.59,1.24,0,113.94,2.51,5.86,32.72,7.42,2.21,2.38,0,0,0.4,5.23,0.81,9.33,8.44,7.99,0.72,0,2.24,1.03,1.23,4.89,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,1624.87,0,0,0,0,0,129.2,0,17.78,0,0,27.63,0.95,15.92,0,0,0,0,3.1,3.94,0,11.2,0,0,201.06,46.68,290.31,0,0.47,2.21,0,0,218.57,0,0,0,28.67,23.52,1.29,0,0,0,0,377.45,0,0,799.85,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0.7,643.54,1.49,0,0,0,15.05,15.97,0,51.92,0,27.63,30.88,0.48,0,2.03,0,0,0,2.72,5.21,0,4.7,0,0,6.7,1.68,21.66,0.69,32.38,9.85,5.03,0,0,0,0,0.81,1.33,18.33,0,0,0,0,0,259.59,0,0,303.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,291.64,0,0,5.78,0,0,0,38.33,0,0,206.38,3.25,1.91,20.25,5.14,0,0,0,0,5.21,0,24.57,1.4,0,717.12,15.08,303.3,0,153.11,0.25,0,0,189.31,0.3,0,0.24,11.09,0,4.19,0,0,0,0,91.51,0,0,97.07,0,7,2.39,1.24,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,4.68,1079.79,0,0,37.93,0,0,18.17,106.73,32.08,0,152.6,26.93,8.03,0,26.61,0,0,0,91.43,8.12,0,51.9,0,0,301.59,0,605.15,17.81,117.3,4.07,2.6,0,31.42,0,23.44,0,5.71,71.75,6.49,0,0,0,27.92,132.67,0,0,1059.08,10.16,27.66,24.84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4.68,2644.23,0,0,58.14,0,0,114.19,20.52,39.86,0,197.48,0,1.22,0,199.92,0,0,0,110.72,4,46.46,7.98,4.2,0,234.57,0,2034.18,2.05,38.12,1.36,0.19,0,62.83,6.7,0,0,0,148.29,19.21,0,0,23.89,0,61.32,0,0,1544.19,0,1672.53,0,0,0,15.94,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1.03,3127.28,0,0,25.95,13.21,0,140.14,27.61,23.33,0,62.83,0,5.65,0,88.72,0,0,0,45,3.51,1.68,27.94,0,0,100.53,0,3548.55,1.82,152.97,24.23,0,0,71.81,3,0,0,31.97,59.17,18.09,0,0,0,39.65,123.5,0,0,1272.27,0,261.46,8.76,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,440.92,0,0,2.98,0,0,61.55,62.35,9.68,0,177.94,0,2.14,0,9.95,0,0,0,21.34,1.78,0,0,0,0,0,0,1610.2,0,94.7,8.35,3.31,0,10.56,1.53,2.31,0,0.64,8.14,4.43,0,0,0,0,18.78,0,0,480.71,0,0,6.32,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
