DOY,Ana.flo,Ank.jud,Ast.for,Chl.spp,Chr.par,Cry.ero,Cry.ref,Cry.ros,Din.ser,Ela.gel,Fra.cro,Gym.hel,Kat.ova,lg.chrys,Ooc.lac,Ped.dup,Pla.aga,Rho.min,Sal.fre,sm.chrys,Ana.cra,Aul.ita,Cos.sp.,Cyc.mic,Cyc.oce,Mal.cau,Per.gos,Uro.vol,Ank.spi,Dic.pul,Eug.acu,Sce.qua,Clo.sp.,Wor.com,Aph.flo,Cer.hir,Pha.sp.,Tab.flo,Vol.aur,Och.sp.,Sel.cop,Mic.aer,Chr.glo,Fra.cap,Sce.den,Clo.kue,Cyc.psu,Sta.par,Ste.nia,Mer.ten,Rha.lin,Din.bor,Mal.ton,Coe.mic,Fra.con,Tre.sp.
149,2.66,5.2,55.95,0.18,40.41,129.2,29.95,35.58,14.13,2.16,3.82,4.71,0.37,16.77,0.36,0.86,1.34,143.17,1.56,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,9.6,24.8,36.15,1.68,19.73,106.4,53.47,23.56,43.25,0,0,0,0,1.29,0,0.39,0,30.27,9.58,2.94,6.14,5.03,0.28,4.93,3.59,97.23,6.7,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1009.92,0,2.01,7.95,1.88,84.73,17.76,48.17,56.88,0,5.84,0,0.3,27.1,0,2.16,20.36,33.11,27.76,6.44,0,0,0,2.11,0,0,60.32,0,0.91,7.31,3.2,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,27.28,6.94,0.44,0.56,6.58,38.84,0,19.7,0.5,0,4.06,0,1.28,0,2.89,0,0,2.23,2.89,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0.67,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1316.58,2.89,0,0,4.7,9.19,0,19.16,0,0,98.83,0,0,0,22.04,0.79,0,8.67,0.69,0,605.51,0,0,0,0,0,13.4,195.82,0,117.81,0,0,0,0,0.5,126.67,1.49,0.53,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,677.39,6.74,0.1,2.1,20.76,105.46,0,241.24,0,0,1.68,0,3.63,0,23.95,2.75,248.81,24.14,0,11.19,10953.42,14.03,0,5.83,0,0,0,94.25,1.5,0,0,0,0,0,40.21,100.53,0,0,3,2.69,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,10.75,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.2,0,0,0.6,0,1.34,17.37,2.05,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1363.28,2.1,0,0,254.34,29.75,0,10.95,0,0,24.18,0,54.58,0,31.94,8.4,0,58.83,35.93,4.48,303.69,55.25,2.79,5.83,11.96,0,0,4.49,0,31.42,0,0,0,8.25,4580.15,2060.89,0,0,5.36,2.66,0,499.8,14.16,25.33,7.1,0,0,0,0,0,0,0,0,0,0,0
219,5223,2.4,0,8.81,197.24,2.81,0,0,0,0,191.54,0,55.29,7.13,45.91,19.65,0,19.79,21.71,25.4,6625.98,10.26,1.4,10.69,64,0,0,62.83,0,26.93,0,21.79,0,0,3164.68,1005.31,0,0,0,0,9.08,942.9,0,0,88.69,10,51.36,1.63,26.05,0,0,0,0,0,0,0
227,902.95,0,0,0,64.88,15.08,0,0,0,0,22.85,0,27.26,21.38,63.87,9.3,631.08,39.87,5.83,11.75,2507.26,52.26,1.4,32.08,153.14,0,0,0,13.97,148.11,0,0.68,0,27.75,1536.1,703.72,0,0,0,0,17.46,171.5,0,0,0,0,78.89,1.75,0,3.97,65.72,0,0,0,0,0
233,1449.14,11.69,0,0,98.62,38.84,0,2.74,0,0,15.08,0,50.93,35.64,59.88,17.69,282.74,89.79,16.29,10.95,2200.79,237.5,1.4,28.8,641.69,0,0,0,9.05,0,0,58.9,0,0,620.79,9047.79,0,0,0,0,28.12,32.5,11.88,0,0,0,420.77,0,0,0,33.17,2.04,0,0,0,0
242,222.52,0,0,0,591.72,59.19,0,0,0,0,12.87,0,0,0,0,50.33,501.88,25.52,0,2.48,467.73,2208.26,0,510.42,0,0,0,0,67.64,303.57,13.27,0,0,35.75,153.94,653.45,0,0,0,0,0,0,0,0,0,0,0,7.53,34.94,61.51,21.56,0,1.15,0,0,0
246,141.93,157.82,0,0,428.22,73.18,0,0,0,0,31.52,0,6.05,0,0,33.25,4282.73,0,0,0,833.23,1745.67,1.4,391.86,143.57,0,0,0,0,1974.78,10.37,12.42,0,522.75,19.35,703.72,0,0,0,0,128.47,0,0,0,5.76,10.63,888.65,1.94,359.34,0,4279.22,0,0,0,0,0
256,1192.87,0,0,4.19,0,27.44,0,0,0,0,4.52,0,3.2,0,135.73,45.2,8593.42,19.64,0,1.33,576.87,236.06,0,129.61,107.68,0,33.51,0,79.24,2001.71,43.43,72.76,0,89.25,22.12,0,0,0,10.72,0,231.77,12.6,0,0,0,25.19,1998.64,2.11,163.34,11.9,0,0,0,7,0,0
260,101.34,71.24,0,0,2.6,0,0,0,0,0,6.28,0,0,0,0,49.6,6412.64,43.23,0,18,135.65,118.22,0,131.88,961.14,0,33.51,0,0,830.31,31.99,0,4.86,346.5,0,0,0,0,0,0,0,0,0,0,0,13.21,684.77,0,26.05,10.32,0,0,0,5.36,0,0
269,23.95,0,0,188.19,176.48,8.54,0,7.18,0,0,0.8,0,1.77,0,301.4,39.3,12876.12,78.39,0,10.67,336.4,51.32,0,156.75,256.61,0,33.51,0,28.37,1202.82,21.15,491.76,1.78,157.5,0,0,0,0,0,0,196.44,12,0,0,0,0,0,1.46,87.7,54.76,0,0,0,0,10.41,1.12
