DOY,Group,total_biomass,grand_total_biomass,biomass_prop
149,Chrysophyte,568.59,716.82,79.32116849
149,Chlorophyte,68.44,716.82,9.547724673
149,Cryptophyte,34.62,716.82,4.829664351
149,Dinoflagellate,18.21,716.82,2.540386708
149,Diatom,15.36,716.82,2.142797355
149,Cyanophyte,11.6,716.82,1.618258419
149,Euglenophyte,0,716.82,0
158,Chrysophyte,85.58,183.37,46.67066587
158,Chlorophyte,62.43,183.37,34.04591809
158,Cyanophyte,33.62,183.37,18.33451492
158,Cryptophyte,0.96,183.37,0.523531657
158,Diatom,0.78,183.37,0.425369472
158,Euglenophyte,0,183.37,0
164,Cyanophyte,338.04,691.13,48.91120339
164,Chlorophyte,157.28,691.13,22.7569343
164,Dinoflagellate,123.18,691.13,17.82298555
164,Chrysophyte,46.12,691.13,6.673129513
164,Diatom,14.12,691.13,2.043030978
164,Cryptophyte,8.79,691.13,1.271830191
164,Euglenophyte,3.6,691.13,0.520886085
170,Cyanophyte,2718.13,3826.27,71.03863554
170,Diatom,396.18,3826.27,10.35420919
170,Chrysophyte,377.61,3826.27,9.868880137
170,Dinoflagellate,263.66,3826.27,6.890783975
170,Chlorophyte,68.62,3826.27,1.793391475
170,Euglenophyte,1.6,3826.27,0.041816181
170,Cryptophyte,0.47,3826.27,0.012283503
172,Cyanophyte,974.05,1464.32,66.51893029
172,Diatom,311.99,1464.32,21.30613527
172,Chrysophyte,76.78,1464.32,5.243389423
172,Chlorophyte,58.71,1464.32,4.009369537
172,Cryptophyte,34.41,1464.32,2.349896198
172,Dinoflagellate,8.38,1464.32,0.572279283
172,Euglenophyte,0,1464.32,0
176,Dinoflagellate,752.45,2197.33,34.24383229
176,Cyanophyte,693.55,2197.33,31.56330638
176,Chlorophyte,266.13,2197.33,12.11151716
176,Cryptophyte,198.97,2197.33,9.055080484
176,Chrysophyte,192.81,2197.33,8.774740253
176,Diatom,93.42,2197.33,4.25152344
176,Euglenophyte,0,2197.33,0
184,Cyanophyte,2858.26,4119.66,69.38096833
184,Chlorophyte,390.28,4119.66,9.473597336
184,Dinoflagellate,301.59,4119.66,7.320749771
184,Cryptophyte,275.48,4119.66,6.686959603
184,Diatom,200.7,4119.66,4.871761262
184,Chrysophyte,83.19,4119.66,2.019341402
184,Euglenophyte,10.16,4119.66,0.246622294
187,Cyanophyte,6365.96,9319.53,68.30773655
187,Chlorophyte,2179.47,9319.53,23.38605058
187,Cryptophyte,258.56,9319.53,2.774388837
187,Dinoflagellate,234.57,9319.53,2.516972422
187,Chrysophyte,178.57,9319.53,1.916083751
187,Diatom,102.4,9319.53,1.098767856
187,Euglenophyte,0,9319.53,0
190,Cyanophyte,8019.97,9333.71,85.92478232
190,Chlorophyte,493.63,9333.71,5.288679421
190,Cryptophyte,278.06,9333.71,2.979094058
190,Chrysophyte,249.39,9333.71,2.671927883
190,Diatom,192.13,9333.71,2.058452641
190,Dinoflagellate,100.53,9333.71,1.077063676
190,Euglenophyte,0,9333.71,0
193,Cyanophyte,2554.7,3041.02,84.00799732
193,Chlorophyte,198.63,3041.02,6.531690025
193,Cryptophyte,173.32,3041.02,5.69940349
193,Chrysophyte,83.77,3041.02,2.754667842
193,Diatom,30.6,3041.02,1.006241327
193,Dinoflagellate,0,3041.02,0
193,Euglenophyte,0,3041.02,0
197,Cyanophyte,10898.69,13501.24,80.72362242
197,Chlorophyte,1158.57,13501.24,8.5812118
197,Cryptophyte,692.87,13501.24,5.131898996
197,Chrysophyte,405.53,13501.24,3.003650035
197,Dinoflagellate,276.46,13501.24,2.04766377
197,Diatom,69.12,13501.24,0.511952976
197,Euglenophyte,0,13501.24,0
199,Cyanophyte,5540.45,8404.02,65.92618771
199,Chlorophyte,1947.6,8404.02,23.17462357
199,Cryptophyte,352.84,8404.02,4.198466924
199,Dinoflagellate,256.24,8404.02,3.049017018
199,Chrysophyte,181.3,8404.02,2.157300911
199,Diatom,120.67,8404.02,1.435860457
199,Euglenophyte,4.92,8404.02,0.058543411
