Location,Depth,DOY,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Description_Code,Genus,Species,name_code
Buffalo Pound,0.8,149,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,149,600,0.09,6.7,6.7,157.5,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,149,600,0.14,7.6,7.6,229.8,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,158,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,158,11400,1.49,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,158,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,164,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,164,91800,13.2,6.5,6.5,143.8,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,164,24200,5.14,7.4,7.4,212.2,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,170,121200,69.35,10.3,10.3,572.2,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,170,608200,79.61,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,170,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,172,56600,32.39,10.3,10.3,572.2,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,172,236800,40.73,6.9,6.9,172,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,172,400,0.08,7.2,7.2,195.4,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,176,14800,8.22,10.2,10.2,555.6,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,176,138600,19.03,6.4,6.4,137.3,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,176,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,184,242000,138.47,10.3,10.3,572.2,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,184,596000,78.02,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,184,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,187,242000,138.47,10.3,10.3,572.2,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,187,1302000,170.43,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,187,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,190,216000,127.22,10.4,10.4,589,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,190,1759000,230.25,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,190,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,193,72000,42.41,10.4,10.4,589,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,193,188000,24.61,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,193,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,211,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,211,71000,9.29,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
