Location,Depth,DOY,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Genus,Species,name_code
Buffalo Pound,0.8,149,0,0,0,0,0,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,149,2200,0.25,6,6,113.1,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,149,0,0,0,0,0,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,154,1200,0.71,10.4,10.4,589,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,154,3000,0.43,6.5,6.5,143.8,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,154,0,0,0,0,0,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,163,0,0,0,0,0,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,163,244000,35.09,6.5,6.5,143.8,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,163,0,0,0,0,0,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,170,0,0,0,0,0,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,170,7800,1.02,6.3,6.3,130.9,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,170,0,0,0,0,0,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,186,106800,66.6,10.6,10.6,623.6,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,186,522600,65.22,6.2,6.2,124.8,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,186,200,0.01,6.7,4.2,61.9,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,191,1226000,743.08,10.5,10.5,606.1,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,191,141000,22.21,6.7,6.7,157.5,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,191,5000,0.32,6.9,4.2,63.7,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,198,1200,0.61,9.9,9.9,508,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,198,1800,0.24,6.3,6.3,130.9,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,198,600,0.04,6.6,4.3,63.9,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,210,36000,20.6,10.3,10.3,572.2,Cyanophyte,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,210,362000,52.06,6.5,6.5,143.8,Cyanophyte,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,210,639000,43.32,7,4.3,67.8,Cyanophyte,HETEROCYT,Aphanizomenon,flos-aquae,Aph.flo
