Date,Depth_m,Sample_Type,MC_total,CYN,ANA_a,dmMC-RR,MC-RR,MC-YR,MC-HtyR,MC-LR,dmMC-LR,MC-HiIR,MC-LY,MC-LW,HANA_a,AP_A,AP_B
2018-05-29,0.1,Intracellular,19,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2018-05-29,0.8,Intracellular,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-29,2.8,Intracellular,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-07,0.1,Intracellular,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-07,0.8,Intracellular,32.6,0,0,0,0,0,0,0,0,0,0,0,0,18,14
2018-06-07,2.8,Intracellular,38,0,0,0,0,0,0,65,0,0,0,0,0,26,40
2018-06-13,0.1,Intracellular,111,0,0,0,0,0,0,146,0,0,0,0,0,91,145
2018-06-13,0.8,Intracellular,64,0,0,0,0,0,0,188,0,0,0,0,0,0,0
2018-06-13,2.8,Intracellular,84,0,0,0,0,9,0,7,0,0,0,0,0,19,61
2018-06-19,0.1,Intracellular,138,0,0,0,0,15,0,271,6,0,0,0,0,41,112
2018-06-19,0.8,Intracellular,151,0,0,0,0,13,0,144,8,0,0,0,0,6,70
2018-06-19,2.8,Intracellular,145,0,0,0,0,41,0,161,8,0,0,0,0,14,62
2018-06-21,2.8,Intracellular,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25,0.1,Intracellular,188,0,0,0,0,26,0,47,0,0,0,0,0,4,73
2018-06-25,0.8,Intracellular,154,0,0,0,0,31,0,37,0,0,0,0,0,0,69
2018-06-25,2.8,Intracellular,173,0,0,0,0,58,0,266,0,0,0,0,0,0,140
2018-07-03,0.8,Intracellular,226,0,0,0,0,32,0,275,19,0,0,0,0,0,552
2018-07-03,2.8,Intracellular,244,0,0,0,0,35,20,211,12,0,0,0,0,0,381
2018-07-06,2.8,Intracellular,204,0,0,0,0,25,0,196,0,0,0,0,0,0,611
2018-07-06,0.1,Intracellular,250,0,0,0,0,15,10,55,0,0,0,0,2,0,414
2018-07-06,0.8,Intracellular,151,0,0,0,0,16,0,211,6,0,0,0,0,0,657
2018-07-09,0.1,Intracellular,243,0,0,0,0,28,17,292,16,0,0,0,0,7,340
2018-07-09,0.8,Intracellular,281,0,0,0,0,0,0,0,0,0,0,0,288,0,554
2018-07-09,2.8,Intracellular,98,0,0,0,0,37,0,204,30,0,0,0,0,8,855
2018-07-12,0.1,Intracellular,163,0,0,0,0,0,0,0,0,0,0,0,0,10,1208
2018-07-12,0.8,Intracellular,195,0,0,0,0,0,0,210,0,0,0,0,0,4,953
2018-07-12,2.8,Intracellular,172,0,0,0,0,0,0,232,0,0,0,0,0,0,812
2018-07-16,2.8,Intracellular,568,0,0,0,0,0,0,539,0,0,0,0,0,32,1544
2018-07-16,0.1,Intracellular,1191,126,0,0,37,20,0,1073,35,0,0,26,0,92,1164
2018-07-16,0.8,Intracellular,616,0,0,0,35,0,0,645,0,0,0,0,0,56,766
2018-07-18,0.1,Intracellular,234,0,29,0,13,0,0,250,0,0,0,0,0,36,1906
2018-07-18,0.8,Intracellular,216,0,0,0,12,0,0,293,0,0,0,0,0,53,2709
2018-07-18,2.8,Intracellular,193,0,0,0,11,0,0,243,0,0,0,0,0,46,1177
2018-07-24,0.1,Intracellular,144,0,0,0,0,0,0,223,0,0,0,0,0,32,1293
2018-07-24,0.8,Intracellular,263,0,0,0,0,0,0,198,0,0,0,0,0,139,1478
2018-07-25,0.1,Intracellular,388,0,0,0,9,0,0,245,0,0,0,0,0,39,1541
2018-07-25,0.8,Intracellular,184,0,0,0,11,0,0,257,0,0,0,0,0,26,1238
2018-07-30,0.1,Intracellular,169,0,0,0,3,0,0,133,0,0,0,0,2,55,1625
2018-07-30,0.8,Intracellular,191,0,0,0,0,0,0,199,0,0,0,0,0,49,1464
2018-07-31,0.1,Intracellular,189,0,0,0,0,0,0,86,0,0,0,0,0,42,1591
2018-07-31,0.8,Intracellular,150,0,0,0,0,0,0,95,0,0,0,0,0,123,1923
2018-08-08,0.1,Intracellular,527,45,0,0,0,10,0,510,15,0,0,0,0,0,304
2018-08-08,0.8,Intracellular,217,0,0,0,0,0,0,152,0,0,0,0,0,89,381
2018-08-09,0.1,Intracellular,102,0,0,0,0,0,0,84,0,0,0,0,0,0,258
2018-08-09,0.8,Intracellular,97,0,0,0,0,0,0,128,0,0,0,0,0,0,228
2018-08-14,2.8,Intracellular,194,0,0,0,0,0,0,81,0,0,0,0,0,129,383
2018-08-14,0.8,Intracellular,150,0,0,0,0,0,0,139,0,0,0,0,0,176,339
2018-08-14,0.1,Intracellular,124,0,0,0,0,0,0,160,0,0,0,0,0,144,379
2018-08-17,2.8,Intracellular,67,0,0,0,0,0,0,87,0,0,0,0,0,199,449
2018-08-17,0.8,Intracellular,81,0,0,0,0,0,0,92,0,0,0,0,0,137,599
2018-08-17,0.1,Intracellular,85,0,0,0,0,0,0,174,0,0,0,0,0,228,512
2018-08-21,0.1,Intracellular,85,0,0,0,0,0,0,148,0,0,0,0,0,140,766
2018-08-21,0.8,Intracellular,89,0,0,0,0,0,0,126,0,0,0,0,0,262,927
2018-08-21,2.8,Intracellular,80,0,0,0,0,0,0,105,0,0,0,0,0,106,763
2018-08-23,0.1,Intracellular,231,0,0,3,0,0,0,256,0,0,0,0,0,68,1303
2018-08-23,0.8,Intracellular,119,0,0,0,3,0,0,84,0,0,0,0,0,100,1013
2018-08-23,2.8,Intracellular,71,0,0,0,0,0,0,48,0,0,0,0,0,108,1212
2018-08-28,0.1,Intracellular,85,0,0,0,0,0,0,109,0,0,0,0,0,181,2112
2018-08-28,0.8,Intracellular,59,0,0,0,0,0,0,122,0,0,0,0,0,196,2296
2018-08-28,2.8,Intracellular,65,0,0,0,0,0,0,80,0,0,0,0,0,180,2535
2018-09-05,0.1,Intracellular,67,0,0,0,0,0,0,76,0,0,0,0,0,181,1539
2018-09-05,0.8,Intracellular,53,0,0,0,0,0,0,43,0,0,0,0,0,204,1621
2018-09-05,2.8,Intracellular,52,0,0,0,0,0,0,69,0,0,0,0,0,256,1680
2018-09-17,0.1,Intracellular,24,0,0,0,0,0,0,0,0,0,0,0,0,626,429
2018-09-17,0.8,Intracellular,22,0,0,0,0,0,0,0,0,0,0,0,0,570,863
2018-09-17,2.8,Intracellular,23,0,0,0,0,0,0,0,0,0,0,0,0,540,529
