Date,Sample_Type,Depth_m,MC_total,ANA_a,MC_RR,MC_YR,MC_LR,dmMC_LR,MC_HiIR,MC_WR,MC_LA,MC_LY,MC_LW,MC_LF,AP_A,AP_B
2019-05-29,Intracellular,2.8,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-29,Intracellular,0.8,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-29,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,Intracellular,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,Intracellular,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,Intracellular,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,Intracellular,2.8,114.4,0,0,0,0,0,0,0,0,0,0,0,43.7,11.5
2019-06-12,Intracellular,0.8,121.9,0,0,72.8,61,0,0,0,0,0,0,0,0,31.6
2019-06-12,Intracellular,0,339,0,0,50,44.1,0,0,0,0,0,0,0,0,31
2019-06-19,Intracellular,2.8,26.5,0,0,10.3,0,0,0,0,0,0,0,0,0,0
2019-06-19,Intracellular,0.8,58.7,0,0,56.4,0,0,0,0,0,0,0,0,0,0
2019-06-19,Intracellular,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05,Intracellular,2.8,212.9,0,0,0,188.8,0,0,0,0,0,0,0,0,0
2019-07-05,Intracellular,0.8,407.7,0,0,0,368.8,39.9,0,0,0,0,0,0,0,0
2019-07-05,Intracellular,0,551.6,0,0,0,337.6,29.4,0,0,0,0,0,0,0,0
2019-07-10,Intracellular,2.8,111.3,0,0,0,83.5,0,0,0,0,0,0,0,0,0
2019-07-10,Intracellular,0.8,301.3,0,0,0,407.8,11.7,0,0,0,0,0,0,16.9,6.2
2019-07-10,Intracellular,0,439.9,0,0,11.3,278.8,9.9,0,0,0,0,0,0,44.6,22.3
2019-07-17,Intracellular,2.8,335.1,0,0,0,476.7,0,0,0,0,0,0,0,0,24.6
2019-07-17,Intracellular,0.8,627.9,0,5,1,547.1,16.3,0,0,0,0,0,0,0,31.1
2019-07-17,Intracellular,0,491.7,0,2.6,6.7,354,13.3,0,0,0,0,0,0,4.8,43.1
2019-07-29,Intracellular,2.8,5677.1,0,12.5,29.3,4111.6,39.1,111.2,0,1,12.3,2,0,16.2,80.3
2019-07-29,Intracellular,0.8,4668.9,0,19.4,95.8,4985.1,60.7,153.7,0,1,17.5,4.2,2.3,45.1,184.3
2019-07-29,Intracellular,0,6633.7,0,11,128,5285.5,80.3,154.3,0,2.7,22,4.2,0,40,211.5
2019-08-07,Intracellular,2.8,8469.6,0,15,170.2,7694.8,118,211.4,0,2.5,24.4,10.7,0,15.2,173.7
2019-08-07,Intracellular,0.8,7204.2,0,13.2,132.8,7263.5,93.2,233.1,0,2.5,21.9,10.7,0,13.9,174.6
2019-08-07,Intracellular,0,10393.4,0,28.3,212.4,9344.9,145.8,298.3,0,2.7,50.3,18.7,0,20.4,172.4
2019-08-15,Intracellular,2.8,6905.8,0,44.5,101.6,7086.8,87.9,298.7,0,5,42.4,13.9,0,33.3,164
2019-08-15,Intracellular,0.8,7931.3,0,81,79.5,7663.8,88.5,341,0,13.6,25.2,17.6,6.1,0,201.7
2019-08-15,Intracellular,0,8823,0,54.3,111.5,7720.4,89.9,197.9,0,6.1,33.9,22.1,8,33.2,164.8
