Date,Time ,Depth_m,Temperature,Conductivity,DO_sat,DO_mgL,pH
2018-05-29,11:28,0.2,20.51,658,93.1,8.35,8.2
2018-05-29,11:28,0.4,20.51,659,93,8.35,8.2
2018-05-29,11:29,0.6,20.5,659,92.9,8.34,8.2
2018-05-29,11:30,0.8,20.5,659,92.9,8.35,8.21
2018-05-29,11:31,1,20.4,659,92.9,8.35,8.21
2018-05-29,11:32,1.2,20.44,659,92.9,9.35,8.22
2018-05-29,11:33,1.4,20.42,659,92.7,9.37,8.22
2018-05-29,11:33,1.6,20.22,659,92.8,8.38,8.22
2018-05-29,11:34,1.8,20.14,659,92.5,8.37,8.22
2018-05-29,11:35,2,20.12,659,92.5,8.38,8.22
2018-05-29,11:36,2.2,20.11,660,92.4,8.37,8.22
2018-05-29,11:37,2.4,20.1,660,92.4,8.37,8.23
2018-05-29,11:38,2.6,20.09,660,93.1,8.42,8.22
2018-05-29,11:38,2.8,20.07,660,93.3,8.42,8.23
2018-05-29,11:39,3,20.07,660,91.7,8.31,8.22
2018-05-29,11:40,3.2,20.07,660,97.7,8.26,8.22
2018-05-29,11:41,3.4,20.07,660,90,8.22,8.21
2018-05-29,11:42,3.6,20.06,660,90.2,8.19,8.2
2018-05-29,11:43,3.8,20.05,660,90,8.18,8.2
2018-06-07,10:40,0.2,18.73,649,101.4,9.42,8.15
2018-06-07,10:40,0.4,18.74,649,101.1,9.4,8.15
2018-06-07,10:41,0.6,18.74,649,100.9,9.39,8.16
2018-06-07,10:42,0.8,18.74,649,100.9,9.39,8.16
2018-06-07,10:43,1,18.71,649,100.8,9.4,8.17
2018-06-07,10:44,1.2,18.74,649,100.8,9.39,8.17
2018-06-07,10:45,1.4,18.72,649,100.8,9.39,8.17
2018-06-07,10:45,1.6,18.7,649,100.7,9.39,8.16
2018-06-07,10:46,1.8,18.64,649,100.6,9.38,8.17
2018-06-07,10:47,2,18.65,649,100.7,9.39,8.17
2018-06-07,10:48,2.2,18.53,649,100.8,9.39,8.16
2018-06-07,10:49,2.4,18.59,649,100.7,9.38,8.17
2018-06-07,10:50,2.6,18.5,649,100.3,9.35,8.17
2018-06-07,10:50,2.8,18.49,650,100,9.33,8.16
2018-06-07,10:51,3,18.49,649,99.8,9.32,8.17
2018-06-07,10:52,3.2,18.48,650,98.5,9.19,8.16
2018-06-07,10:53,3.4,18.48,650,97.6,9.1,8.15
2018-06-07,10:54,3.6,18.46,650,96.5,9.01,8.14
2018-06-07,10:55,3.8,18.46,650,94.8,8.87,8.13
2018-06-13,12:30,0.2,18.43,654,96.5,9.04,8.17
2018-06-13,12:30,0.4,18.38,653,96.7,9.07,8.18
2018-06-13,12:31,0.6,18.35,653,96.1,9.01,8.19
2018-06-13,12:32,0.8,18.31,653,95.9,9,8.21
2018-06-13,12:33,1,18.29,652,95.3,8.96,8.22
2018-06-13,12:34,1.2,18.27,652,95,8.92,8.23
2018-06-13,12:35,1.4,18.26,652,94.7,8.9,8.23
2018-06-13,12:35,1.6,18.21,651,94.4,8.87,8.23
2018-06-13,12:36,1.8,18.2,651,94,8.85,8.23
2018-06-13,12:37,2,18.16,651,93.4,8.79,8.24
2018-06-13,12:38,2.2,18.15,651,93,8.76,8.24
2018-06-13,12:39,2.4,18.14,651,92.7,8.74,8.23
2018-06-13,12:40,2.6,18.12,651,92.5,8.72,8.23
2018-06-13,12:40,2.8,18.1,650,92,8.66,8.24
2018-06-13,12:41,3,18.08,649,91.4,8.63,8.24
2018-06-13,12:42,3.2,18.05,648,90.8,8.55,8.23
2018-06-13,12:43,3.4,18.04,648,89.1,8.42,8.22
2018-06-13,12:44,3.6,18.04,649,87.5,8.27,8.23
2018-06-13,12:45,3.8,18.04,649,87.6,8.27,8.22
2018-06-13,12:45,4,18.04,649,87.3,8.24,8.23
2018-06-19,11:50,0.2,21.94,638,153.3,13.41,8.47
2018-06-19,11:50,0.4,21.94,638,153.6,13.45,8.44
2018-06-19,11:51,0.6,21.86,638,155.8,14.55,8.42
2018-06-19,11:52,0.8,21.49,634,164.4,15.61,8.4
2018-06-19,11:53,1,20.67,624,174.4,15.69,8.38
2018-06-19,11:54,1.2,20.47,622,170.4,15.46,8.36
2018-06-19,11:55,1.4,20.15,620,174.7,15.86,8.33
2018-06-19,11:55,1.6,19.36,626,164.2,15.1,8.3
2018-06-19,11:56,1.8,19.15,632,145.3,13.42,8.26
2018-06-19,11:57,2,19.06,634,139.6,12.72,8.2
2018-06-19,11:58,2.2,18.93,640,124,11.5,8.21
2018-06-19,11:59,2.4,18.91,639,116.1,10.72,7.39
2018-06-19,12:00,2.6,18.87,642,111.5,10.23,7.97
2018-06-19,12:00,2.8,18.82,644,105.8,9.84,7.95
2018-06-19,12:01,3,18.74,644,97.7,8.95,8.04
2018-06-19,12:02,3.2,18.67,646,89.7,8.34,8.09
2018-06-19,12:03,3.4,18.65,646,84.6,7.89,8.25
2018-06-19,12:04,3.6,18.61,647,80.4,7.5,8.26
2018-06-19,12:05,3.8,18.57,649,75.4,7.05,8.2
2018-06-25,11:05,0.2,21.84,614,110,9.63,8.32
2018-06-25,11:05,0.4,21.83,615,110.1,9.65,8.32
2018-06-25,11:06,0.6,21.8,616,110.2,9.66,8.31
2018-06-25,11:07,0.8,21.79,615,110.1,9.66,8.31
2018-06-25,11:08,1,21.77,614,110,9.64,8.31
2018-06-25,11:09,1.2,21.83,613,109.7,9.61,8.31
2018-06-25,11:10,1.4,21.8,612,109.5,9.61,8.3
2018-06-25,11:10,1.6,21.76,614,107.4,9.44,8.3
2018-06-25,11:11,1.8,21.66,613,106.2,9.37,8.29
2018-06-25,11:12,2,21.59,611,102,8.94,8.28
2018-06-25,11:13,2.2,21.52,611,101.7,,8.28
2018-06-25,11:14,2.4,21.34,612,100.9,,8.26
2018-06-25,11:15,2.6,21.15,617,,,8.2
2018-06-25,11:15,2.8,19.27,617,,,8.1
2018-06-25,11:16,3,19.58,617,79.4,6.89,8.02
2018-06-25,11:17,3.2,19.21,617,,,7.57
2018-06-25,11:18,3.4,19.19,619,,,7.49
2018-06-25,11:19,3.6,19.18,620,,,7.48
2018-06-25,11:20,3.8,19.16,620,,,7.46
2018-07-03,11:30,0.2,21.85,591,,,7.55
2018-07-03,11:30,0.4,21.81,591,,,7.48
2018-07-03,11:31,0.6,21.68,591,,,7.46
2018-07-03,11:32,0.8,21.66,592,,,7.46
2018-07-03,11:33,1,21.46,596,,,7.44
2018-07-03,11:34,1.2,20.99,595,,,7.31
2018-07-03,11:35,1.4,20.74,596,,,7.28
2018-07-03,11:35,1.6,20.71,595,,,7.29
2018-07-03,11:36,1.8,20.7,597,,,7.26
2018-07-03,11:37,2,20.69,598,,,7.42
2018-07-03,11:38,2.2,20.67,599,,,7.45
2018-07-03,11:39,2.4,20.66,598,,,7.51
2018-07-03,11:40,2.6,20.66,598,,,7.58
2018-07-03,11:40,2.8,20.64,598,,,7.6
2018-07-03,11:41,3,20.63,598,,,7.64
2018-07-03,11:42,3.2,20.58,598,,,7.72
2018-07-03,11:43,3.4,20.56,598,,,7.75
