Date,Time,Depth_m,Temperature,Conductivity,DO_sat,DO_mgL,pH
03-Jun-19,1:25:00 PM,0.2,19.05,569,96.7,8.94,7.98
03-Jun-19,1:26:00 PM,0.4,19.05,569,96.6,8.95,8.02
03-Jun-19,1:27:00 PM,0.6,19.05,569,96.8,8.95,8.03
03-Jun-19,1:28:00 PM,0.8,19.01,569,96.8,8.96,8.05
03-Jun-19,1:29:00 PM,1,18.93,569,96.7,8.97,8.06
03-Jun-19,1:30:00 PM,1.2,18.89,569,96.7,8.98,8.06
03-Jun-19,1:31:00 PM,1.4,18.53,569,96.2,8.98,8.05
03-Jun-19,1:32:00 PM,1.6,18.41,570,95.3,8.93,8.07
03-Jun-19,1:33:00 PM,1.8,18.21,570,94.6,8.9,8.06
03-Jun-19,1:34:00 PM,2,18.12,569,94.3,8.89,8.06
03-Jun-19,1:35:00 PM,2.2,18.04,569,94.3,8.9,8.06
03-Jun-19,1:36:00 PM,2.4,17.99,569,94.3,8.92,8.06
03-Jun-19,1:37:00 PM,2.6,17.97,569,94.3,8.92,8.05
03-Jun-19,1:38:00 PM,2.8,17.95,569,94.4,8.93,8.05
03-Jun-19,1:39:00 PM,3,17.96,569,94.5,8.94,8.05
03-Jun-19,1:40:00 PM,3.2,17.96,569,94.4,8.93,8.06
03-Jun-19,1:41:00 PM,3.4,17.95,569,94.3,8.92,8.07
03-Jun-19,1:42:00 PM,3.6,17.96,569,94.2,8.9,8.06
03-Jun-19,1:43:00 PM,3.8,17.96,569,92.6,8.78,8.06
12-Jun-19,12:04 PM,0.2,18.06,567,94.6,8.92,8.09
12-Jun-19,12:05 PM,0.4,18.04,567,93.5,8.83,8.11
12-Jun-19,12:06 PM,0.6,18.04,567,93.3,8.81,8.1
12-Jun-19,12:07 PM,0.8,17.97,567,92.9,8.78,8.1
12-Jun-19,12:08 PM,1,17.81,569,91.9,8.73,8.1
12-Jun-19,12:09 PM,1.2,17.55,572,88.8,8.47,8.09
12-Jun-19,12:10 PM,1.4,17.51,572,88.6,8.46,8.09
12-Jun-19,12:11 PM,1.6,17.44,573,86.9,8.3,8.09
12-Jun-19,12:12 PM,1.8,17.41,574,86.2,8.24,8.09
12-Jun-19,12:13 PM,2,17.39,575,84.9,8.13,8.09
12-Jun-19,12:14 PM,2.2,17.36,575,83.9,8.03,8.08
12-Jun-19,12:15 PM,2.4,17.36,575,83.2,7.96,8.08
12-Jun-19,12:16 PM,2.6,17.35,575,83.2,7.96,8.08
12-Jun-19,12:17 PM,2.8,17.36,575,83.4,7.99,8.09
12-Jun-19,12:18 PM,3,17.35,575,83.5,8,8.09
12-Jun-19,12:19 PM,3.2,17.35,575,83.4,8,8.09
12-Jun-19,12:20 PM,3.4,17.35,575,83.4,7.99,8.1
12-Jun-19,12:21 PM,3.6,17.36,574,83.6,8.01,8.11
12-Jun-19,12:22 PM,3.8,17.4,574,82.2,7.87,8.05
19-Jun-19,11:20 AM,0.2,18.58,567,88,8.22,8.13
19-Jun-19,11:21 AM,0.4,18.58,567,87.5,8.17,8.11
19-Jun-19,11:22 AM,0.6,18.58,567,87.3,8.16,8.1
19-Jun-19,11:23 AM,0.8,18.58,567,87.3,8.15,8.1
19-Jun-19,11:24 AM,1,18.58,567,87.2,8.14,8.1
19-Jun-19,11:25 AM,1.2,18.58,567,87,8.13,8.09
19-Jun-19,11:26 AM,1.4,18.58,567,87.2,8.14,8.09
19-Jun-19,11:27 AM,1.6,18.58,567,87.3,8.16,8.1
19-Jun-19,11:28 AM,1.8,18.58,567,87.4,8.17,8.1
19-Jun-19,11:29 AM,2,18.58,567,87.6,8.18,8.09
19-Jun-19,11:30 AM,2.2,18.58,567,87.7,8.19,8.09
19-Jun-19,11:31 AM,2.4,18.58,567,87.7,8.2,8.09
19-Jun-19,11:32 AM,2.6,18.58,567,87.7,8.19,8.09
19-Jun-19,11:33 AM,2.8,18.58,567,87.7,8.19,8.11
19-Jun-19,11:34 AM,3,18.58,567,87.8,8.2,8.11
19-Jun-19,11:35 AM,3.2,18.58,567,87.8,8.2,8.11
19-Jun-19,11:36 AM,3.4,18.58,567,87.8,8.2,8.1
19-Jun-19,11:37 AM,3.6,18.58,567,87.8,8.2,8.11
19-Jun-19,11:38 AM,3.8,18.58,567,87.4,8.16,8.08
05-Jul-19,12:15 PM,0.2,21.2,526,141,12.51,8.67
05-Jul-19,12:16 PM,0.4,21.18,526,141.6,12.57,8.62
05-Jul-19,12:17 PM,0.6,21.15,526,141.2,12.52,8.59
05-Jul-19,12:18 PM,0.8,21.16,526,140.7,12.49,8.59
05-Jul-19,12:19 PM,1,21.17,526,141.7,12.57,8.6
05-Jul-19,12:20 PM,1.2,21.16,526,142.3,12.62,8.57
05-Jul-19,12:21 PM,1.4,21.11,526,140.3,12.47,8.58
05-Jul-19,12:22 PM,1.6,21.04,526,138.7,12.32,8.57
05-Jul-19,12:23 PM,1.8,20.98,526,134.2,11.95,8.56
05-Jul-19,12:24 PM,2,20.92,526,132.5,11.81,8.55
05-Jul-19,12:25 PM,2.2,20.8,525,133.4,11.9,8.56
05-Jul-19,12:26 PM,2.4,20.58,524,125.6,11.25,8.53
05-Jul-19,12:27 PM,2.6,20.34,534,109.2,9.78,8.42
05-Jul-19,12:28 PM,2.8,20.15,535,95.9,8.7,8.37
05-Jul-19,12:29 PM,3,20.17,537,86.2,7.76,8.2
05-Jul-19,12:30 PM,3.2,20.01,538,77.9,6.95,8.22
05-Jul-19,12:31 PM,3.4,20.03,538,77.9,7.06,8.22
05-Jul-19,12:32 PM,3.6,20.01,540,76.3,6.78,8.1
05-Jul-19,12:33 PM,3.8,19.95,541,66.9,6.02,8.06
10-Jul-19,11:15 AM,0.2,22.43,500,147.4,12.77,8.92
10-Jul-19,11:16 AM,0.4,22.39,500,149.5,12.97,8.81
10-Jul-19,11:17 AM,0.6,22.36,500,149.8,12.99,8.77
10-Jul-19,11:18 AM,0.8,22.34,500,150.3,13.05,8.76
10-Jul-19,11:19 AM,1,22.18,501,149.2,12.98,8.75
10-Jul-19,11:20 AM,1.2,21.75,503,138.8,12.1,8.69
10-Jul-19,11:21 AM,1.4,21.62,505,130.8,11.5,8.64
10-Jul-19,11:22 AM,1.6,21.6,506,128.4,11.3,8.62
10-Jul-19,11:23 AM,1.8,21.59,507,126.6,11.11,8.62
10-Jul-19,11:24 AM,2,21.58,508,124.9,11,8.61
10-Jul-19,11:25 AM,2.2,21.57,511,121.6,10.7,8.57
10-Jul-19,11:26 AM,2.4,21.56,514,115.8,10.2,8.57
10-Jul-19,11:27 AM,2.6,21.54,516,110.5,9.73,8.56
10-Jul-19,11:28 AM,2.8,21.53,516,109.4,9.64,8.55
10-Jul-19,11:29 AM,3,21.52,517,107.3,9.44,8.54
10-Jul-19,11:30 AM,3.2,21.51,517,105.8,9.28,8.52
10-Jul-19,11:31 AM,3.4,21.5,518,102.4,9.03,8.49
10-Jul-19,11:32 AM,3.6,21.49,518,99.1,8.71,8.49
10-Jul-19,11:33 AM,3.8,21.49,518,97.7,8.6,8.49
10-Jul-19,11:34 AM,4,21.42,562,63.8,5.49,7.91
17-Jul-19,11:21 AM,0.2,22.76,500,79.3,6.82,8.45
17-Jul-19,11:22 AM,0.4,22.76,500,78.7,6.78,8.37
17-Jul-19,11:23 AM,0.6,22.75,500,78.2,6.72,8.32
17-Jul-19,11:24 AM,0.8,22.75,500,78.1,6.72,8.32
17-Jul-19,11:25 AM,1,22.75,501,77.6,6.68,8.33
17-Jul-19,11:26 AM,1.2,22.75,500,77.6,6.68,8.33
17-Jul-19,11:27 AM,1.4,22.74,501,77.2,6.64,8.33
17-Jul-19,11:28 AM,1.6,22.74,501,77,6.63,8.33
17-Jul-19,11:29 AM,1.8,22.74,500,77,6.63,8.33
17-Jul-19,11:30 AM,2,22.74,500,76.9,6.62,8.33
17-Jul-19,11:31 AM,2.2,22.73,501,76.4,6.57,8.32
17-Jul-19,11:32 AM,2.4,22.73,501,76.1,6.55,8.32
17-Jul-19,11:33 AM,2.6,22.73,501,76.2,6.55,8.33
17-Jul-19,11:34 AM,2.8,22.74,500,76.2,6.55,8.34
17-Jul-19,11:35 AM,3,22.73,500,76.1,6.55,8.34
17-Jul-19,11:36 AM,3.2,22.73,501,75.8,6.53,8.33
17-Jul-19,11:37 AM,3.4,22.72,501,75.7,6.51,8.34
17-Jul-19,11:38 AM,3.6,22.72,501,75.2,6.47,8.33
17-Jul-19,11:39 AM,3.8,22.72,501,74.7,6.43,8.33
29-Jul-19,1:20 PM,0.2,21.89,477,145.7,12.8,
29-Jul-19,1:21 PM,0.4,21.74,477,148.3,13.03,
29-Jul-19,1:22 PM,0.6,21.52,477,148.5,13.22,
29-Jul-19,1:23 PM,0.8,20.44,477,136.8,12.33,
29-Jul-19,1:24 PM,1,20.33,477,134.5,12.14,
29-Jul-19,1:25 PM,1.2,20.03,479,112.6,10.24,
29-Jul-19,1:26 PM,1.4,19.98,480,111.7,10.1,
29-Jul-19,1:27 PM,1.6,19.95,480,107,9.72,
29-Jul-19,1:28 PM,1.8,19.92,480,103.5,9.41,
29-Jul-19,1:29 PM,2,19.88,480,101.1,9.2,
29-Jul-19,1:30 PM,2.2,19.87,481,99.8,9.08,
29-Jul-19,1:31 PM,2.4,19.84,481,97.1,8.85,
29-Jul-19,1:32 PM,2.6,19.76,482,90.8,8.29,
29-Jul-19,1:33 PM,2.8,19.72,482,87.7,8.02,
29-Jul-19,1:34 PM,3,19.67,481,87.1,7.96,
29-Jul-19,1:35 PM,3.2,19.63,481,87.1,7.96,
29-Jul-19,1:36 PM,3.4,19.62,481,87.2,7.98,
29-Jul-19,1:37 PM,3.6,19.62,481,87.2,7.97,
29-Jul-19,1:38 PM,3.8,19.62,481,87,7.96,
07-Aug-19,11:43 AM,0.2,21.42,455,118.8,10.44,9.06
07-Aug-19,11:44 AM,0.4,21.42,455,122.5,10.82,9.1
07-Aug-19,11:45 AM,0.6,21.42,455,123.6,10.92,9.12
07-Aug-19,11:46 AM,0.8,21.42,455,123.9,10.94,9.13
07-Aug-19,11:47 AM,1,21.42,455,123.9,10.94,9.13
07-Aug-19,11:48 AM,1.2,21.42,455,123.7,10.93,9.13
07-Aug-19,11:49 AM,1.4,21.41,455,123.7,10.93,9.12
07-Aug-19,11:50 AM,1.6,21.41,455,123.6,10.91,9.12
07-Aug-19,11:51 AM,1.8,21.41,455,123.2,10.89,9.12
07-Aug-19,11:52 AM,2,21.41,455,123.6,10.92,9.12
07-Aug-19,11:53 AM,2.2,21.41,455,123.4,10.9,9.11
07-Aug-19,11:54 AM,2.4,21.41,455,123.3,10.89,9.11
07-Aug-19,11:55 AM,2.6,21.41,455,123.3,10.89,9.11
